name,latitude,longitude
Bhutesar Madev,22.98147,69.7166619
Jesar Pir Mindhar,22.9789671,69.7192073
Mahakali Mandir,24.2157823,72.369579
Hanuman Madhi,22.3004907,70.7754493
Imam Khan Masjid,22.7743364,73.6161272
Swaminarayan Mandir,20.81271,72.9562248
N/A,23.1908373,73.2276787
N/A,23.1914744,73.2283679
N/A,23.1909281,73.2281311
Baroda Mar Thoma Syrian Church,22.3215284,73.1923844
Shiv Temple,22.3212049,73.1927692
Mata Temple,22.3228124,73.1905831
Badi Masjid,22.3228013,73.1896418
Nani Masjid,22.3222551,73.1902303
Fakir ki Jhopadi,22.3234779,73.1890207
Shree Chhabila Hanuman Temple,23.4880793,72.59665
"Jain Temple, Samau",23.4882859,72.5968766
Radha Krishna Mandir,21.2108823,72.8286865
Kantareshwar Mahadev Mandir,21.2272846,72.8310183
N/A,22.9608211,72.5830274
N/A,22.3543865,73.1150519
Jama Masjid,22.2390928,68.968674
Ismaili Jamatkhana,21.110377,70.5220255
Masjid e Taqva,21.1009162,71.7611381
Ibrahim Masjid,21.0947843,71.7740692
Masjid E Raza,22.3010472,73.2261509
Sardhar Jumma Masjid,22.1398284,70.9834056
Taiyabi Masjid,21.9646807,70.8011969
Masjid E tayba,21.6856801,72.9592096
Bhavani Mandir (Temple),21.0645084,71.8059398
Gayatri Mandir,22.6093101,73.4634856
Maha Lakshmi Mandir,22.6053266,73.4660039
Ambe Mata Mandir,22.6064415,73.4657532
Mahakali Maa Mandir,22.6024606,73.4685722
Somnath Patadeshwar Mahadev Mandir,22.6013195,73.4661316
Gowardhan Nathji Haveli (Mota Mandir),22.60389,73.4649939
Siddhnath Mahadev Mandir,22.6037491,73.4655742
Brahmakumaris Temple,22.6085057,73.4647825
Gaushaneshwar Mahadev Mandir,22.576341,73.4499249
Baapji Kaal Bhairav Mandir,22.5878299,73.4498333
Sree Sidhnath Mahadev Sitaram Mandir,22.6078215,73.4599423
Krupalu Maharaj Samadhi,22.5972944,73.5521614
Lomevdham Temple,22.3751599,71.4179641
Shree Muktajivan Swami Bapa Smruti Mandir,22.9732159,72.6114964
BAPS Swaminarayan Mandir,22.5306822,72.9314263
ગોગાના વારસદાર,24.1654899,72.1199271
mahakali mata hindu temple,23.5080611,72.9555179
jogni mata mandir,23.5089931,72.9557666
hindu temple,23.5097638,72.9560591
amba mata hindu temple,23.5091351,72.9569985
RAGUNATHJI TEMPLE,22.6844897,73.0016935
Neem Karoli Baba Hanuman Temple,23.0045742,70.608308
Shree Swaminarayan Temple Piplana,21.4392251,70.2401173
Kedarnath Temple,22.4754597,73.0881623
Umiya Mata Nu Mandir,23.0543121,72.4770925
JANKI POLY PLAST,22.9738305,72.5986127
dev bhumi pipalva gir,21.0332443,70.5362846
HAZRAT JORAVER PEER DARGAH [VAZAHAT HUSSAIN BAWA SAHEB],22.3052161,73.2132907
Koteswar Mahadev temple,21.5146614,70.4606511
